,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9681 ± 0.005,0.9717 ± 0.015,0.965 ± 0.016,0.4267 ± 0.064,1.1657 ± 0.203
LeftLung,0.9724 ± 0.004,0.9757 ± 0.012,0.9693 ± 0.013,0.4155 ± 0.039,1.1657 ± 0.203
Heart,0.9216 ± 0.05,0.9149 ± 0.081,0.9337 ± 0.045,1.0376 ± 0.936,2.7991 ± 2.338
Trachea,0.7436 ± 0.082,0.7508 ± 0.074,0.7467 ± 0.114,0.8716 ± 0.537,3.4003 ± 2.021
Esophagus,0.8098 ± 0.037,0.7927 ± 0.096,0.8439 ± 0.065,0.8525 ± 0.489,3.562 ± 1.823
SpinalCord,0.8914 ± 0.019,0.8807 ± 0.058,0.9085 ± 0.048,0.5339 ± 0.127,1.5803 ± 0.32
