,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9672 ± 0.005,0.9701 ± 0.015,0.9648 ± 0.016,0.5332 ± 0.212,1.1975 ± 0.257
LeftLung,0.9699 ± 0.005,0.9776 ± 0.012,0.9627 ± 0.015,1.1259 ± 1.677,1.3217 ± 0.23
Heart,0.9049 ± 0.055,0.918 ± 0.084,0.8986 ± 0.061,1.4555 ± 1.153,3.718 ± 2.208
Trachea,0.739 ± 0.078,0.7511 ± 0.09,0.737 ± 0.097,0.9855 ± 0.723,3.6287 ± 2.476
Esophagus,0.7349 ± 0.079,0.8356 ± 0.091,0.6811 ± 0.133,0.9375 ± 0.355,4.5788 ± 1.111
SpinalCord,0.8645 ± 0.015,0.9117 ± 0.047,0.8263 ± 0.05,0.6301 ± 0.083,1.7171 ± 0.227
