,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9671 ± 0.006,0.9667 ± 0.018,0.968 ± 0.016,0.482 ± 0.124,1.2975 ± 0.341
LeftLung,0.9688 ± 0.008,0.9802 ± 0.013,0.958 ± 0.019,0.4736 ± 0.085,1.3535 ± 0.261
Heart,0.9331 ± 0.034,0.9236 ± 0.059,0.9457 ± 0.036,0.8055 ± 0.51,2.2084 ± 1.234
Trachea,0.7336 ± 0.091,0.8281 ± 0.07,0.6671 ± 0.112,0.7346 ± 0.374,3.2716 ± 2.121
Esophagus,0.8064 ± 0.046,0.7452 ± 0.094,0.8939 ± 0.05,1.1035 ± 0.825,3.8588 ± 2.685
SpinalCord,0.8557 ± 0.025,0.9445 ± 0.035,0.7858 ± 0.055,0.6023 ± 0.112,1.7643 ± 0.295
