,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9647 ± 0.007,0.9734 ± 0.013,0.9565 ± 0.019,1.4863 ± 2.439,7.3592 ± 18.421
LeftLung,0.9654 ± 0.01,0.9836 ± 0.009,0.9483 ± 0.023,0.7552 ± 0.22,1.5156 ± 0.45
Heart,0.8983 ± 0.064,0.9324 ± 0.098,0.8761 ± 0.073,1.4744 ± 1.276,4.1096 ± 3.48
Trachea,0.5072 ± 0.093,0.4536 ± 0.089,0.609 ± 0.165,4.4525 ± 2.925,13.4578 ± 6.903
Esophagus,0.7748 ± 0.044,0.8464 ± 0.124,0.7413 ± 0.103,1.9208 ± 1.286,8.7395 ± 5.342
SpinalCord,0.7926 ± 0.071,0.8522 ± 0.097,0.778 ± 0.164,0.8682 ± 0.234,2.9033 ± 1.082
