,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9407 ± 0.025,0.9793 ± 0.01,0.9067 ± 0.049,1.9146 ± 1.802,3.4667 ± 1.839
LeftLung,0.9552 ± 0.013,0.9727 ± 0.012,0.9393 ± 0.032,3.9981 ± 5.324,20.0584 ± 48.778
Heart,0.7128 ± 0.081,0.7109 ± 0.16,0.7723 ± 0.144,9.3321 ± 5.642,30.4109 ± 18.576
Trachea,0.3192 ± 0.085,0.3634 ± 0.109,0.3427 ± 0.151,7.4226 ± 4.454,24.5877 ± 10.103
Esophagus,0.6127 ± 0.079,0.5427 ± 0.114,0.7377 ± 0.109,10.83 ± 4.899,33.1911 ± 17.622
SpinalCord,0.8136 ± 0.032,0.8006 ± 0.101,0.8496 ± 0.094,4.2346 ± 2.887,5.3315 ± 3.221
