,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9628 ± 0.007,0.9798 ± 0.01,0.9468 ± 0.019,0.4932 ± 0.117,1.4389 ± 0.36
LeftLung,0.9653 ± 0.009,0.9861 ± 0.007,0.9456 ± 0.018,0.5067 ± 0.102,1.4293 ± 0.397
Heart,0.9232 ± 0.054,0.9123 ± 0.088,0.94 ± 0.041,1.0848 ± 1.082,3.0434 ± 2.835
Trachea,0.6143 ± 0.065,0.4625 ± 0.059,0.9227 ± 0.084,2.3369 ± 0.931,6.9082 ± 3.765
Esophagus,0.7477 ± 0.07,0.6319 ± 0.104,0.9389 ± 0.044,1.611 ± 0.885,5.0501 ± 3.033
SpinalCord,0.8599 ± 0.046,0.7696 ± 0.079,0.9819 ± 0.016,1.0875 ± 0.754,2.0543 ± 0.693
