,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9665 ± 0.006,0.9729 ± 0.015,0.9608 ± 0.019,0.4964 ± 0.129,1.2828 ± 0.393
LeftLung,0.9705 ± 0.006,0.9769 ± 0.015,0.9647 ± 0.016,0.4694 ± 0.047,1.3071 ± 0.302
Heart,0.9327 ± 0.033,0.9318 ± 0.054,0.9363 ± 0.04,0.8072 ± 0.492,2.2221 ± 1.167
Trachea,0.7161 ± 0.083,0.6859 ± 0.082,0.7561 ± 0.106,0.9904 ± 0.366,3.2207 ± 1.236
Esophagus,0.0 ± 0.0,nan ± nan,0.0 ± 0.0,nan ± nan,nan ± nan
SpinalCord,0.892 ± 0.024,0.9062 ± 0.05,0.882 ± 0.045,0.4879 ± 0.117,1.5853 ± 0.295
