,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9672 ± 0.006,0.9737 ± 0.014,0.9613 ± 0.018,0.4757 ± 0.133,1.256 ± 0.35
LeftLung,0.9699 ± 0.006,0.9797 ± 0.012,0.9608 ± 0.017,0.4696 ± 0.067,1.2389 ± 0.255
Heart,0.9277 ± 0.037,0.9185 ± 0.055,0.9405 ± 0.05,0.8905 ± 0.543,2.5657 ± 1.348
Trachea,0.7173 ± 0.083,0.7221 ± 0.081,0.7208 ± 0.112,0.8591 ± 0.295,3.0883 ± 1.328
Esophagus,0.8199 ± 0.033,0.8162 ± 0.098,0.8392 ± 0.063,0.7556 ± 0.41,2.9835 ± 1.301
SpinalCord,0.8821 ± 0.03,0.9065 ± 0.048,0.8633 ± 0.058,0.5137 ± 0.127,1.6675 ± 0.346
