,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9665 ± 0.006,0.9749 ± 0.014,0.9587 ± 0.02,0.4786 ± 0.133,1.256 ± 0.35
LeftLung,0.9698 ± 0.006,0.9781 ± 0.014,0.9621 ± 0.017,0.4637 ± 0.062,1.2803 ± 0.247
Heart,0.9281 ± 0.033,0.9447 ± 0.054,0.9146 ± 0.039,0.8195 ± 0.482,2.28 ± 1.001
Trachea,0.6911 ± 0.09,0.787 ± 0.092,0.6222 ± 0.099,0.8441 ± 0.313,3.3478 ± 1.653
Esophagus,0.6317 ± 0.039,0.9349 ± 0.075,0.483 ± 0.059,0.9328 ± 0.185,5.834 ± 1.772
SpinalCord,0.8613 ± 0.025,0.9413 ± 0.038,0.7975 ± 0.054,0.5821 ± 0.108,1.6625 ± 0.369
