,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9664 ± 0.006,0.9757 ± 0.014,0.9578 ± 0.02,0.4868 ± 0.145,1.256 ± 0.35
LeftLung,0.9707 ± 0.006,0.9765 ± 0.014,0.9653 ± 0.016,0.4558 ± 0.054,1.1975 ± 0.257
Heart,0.9282 ± 0.039,0.9254 ± 0.053,0.9341 ± 0.054,0.8842 ± 0.579,2.6473 ± 1.546
Trachea,0.7095 ± 0.087,0.7311 ± 0.08,0.6978 ± 0.118,0.8429 ± 0.279,3.1061 ± 1.361
Esophagus,0.8 ± 0.038,0.7826 ± 0.111,0.841 ± 0.078,0.8887 ± 0.472,3.5302 ± 1.561
SpinalCord,0.8814 ± 0.031,0.9079 ± 0.046,0.8609 ± 0.06,0.5144 ± 0.124,1.6993 ± 0.335
