,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9666 ± 0.006,0.9726 ± 0.015,0.9612 ± 0.019,0.4883 ± 0.144,1.256 ± 0.35
LeftLung,0.9712 ± 0.005,0.9749 ± 0.015,0.968 ± 0.015,0.4533 ± 0.047,1.2657 ± 0.313
Heart,0.9297 ± 0.035,0.9197 ± 0.056,0.9433 ± 0.046,0.851 ± 0.494,2.4851 ± 1.235
Trachea,0.3843 ± 0.093,0.5028 ± 0.096,0.3192 ± 0.098,1.9871 ± 0.427,15.939 ± 7.551
Esophagus,0.7788 ± 0.052,0.7287 ± 0.108,0.8581 ± 0.074,1.0085 ± 0.506,3.7048 ± 1.635
SpinalCord,0.8639 ± 0.036,0.9286 ± 0.039,0.8119 ± 0.066,0.552 ± 0.128,1.8214 ± 0.427
