,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.968 ± 0.005,0.9724 ± 0.014,0.9641 ± 0.017,0.4328 ± 0.068,1.1657 ± 0.203
LeftLung,0.972 ± 0.005,0.9782 ± 0.011,0.9662 ± 0.015,0.4212 ± 0.049,1.1975 ± 0.257
Heart,0.9182 ± 0.051,0.8943 ± 0.082,0.949 ± 0.043,1.111 ± 0.966,3.0532 ± 2.404
Trachea,0.7222 ± 0.071,0.6241 ± 0.077,0.8659 ± 0.085,1.3269 ± 0.842,4.132 ± 2.937
Esophagus,0.786 ± 0.055,0.7029 ± 0.101,0.9101 ± 0.049,1.2265 ± 0.733,4.2001 ± 2.833
SpinalCord,0.8806 ± 0.032,0.821 ± 0.071,0.9562 ± 0.029,0.642 ± 0.198,1.7689 ± 0.52
