,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.967 ± 0.006,0.9718 ± 0.015,0.9628 ± 0.018,0.4814 ± 0.139,1.256 ± 0.35
LeftLung,0.9706 ± 0.006,0.9766 ± 0.014,0.9651 ± 0.016,0.4574 ± 0.052,1.2243 ± 0.318
Heart,0.9291 ± 0.037,0.9188 ± 0.056,0.9427 ± 0.046,0.8755 ± 0.54,2.5011 ± 1.321
Trachea,0.7646 ± 0.079,0.8081 ± 0.059,0.7348 ± 0.112,0.6996 ± 0.401,3.2101 ± 2.237
Esophagus,0.7944 ± 0.045,0.7626 ± 0.114,0.852 ± 0.071,0.9532 ± 0.527,3.6586 ± 1.707
SpinalCord,0.8832 ± 0.029,0.9034 ± 0.046,0.8688 ± 0.061,0.5121 ± 0.114,1.6675 ± 0.346
