,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9652 ± 0.006,0.9674 ± 0.016,0.9635 ± 0.014,0.4608 ± 0.082,1.3485 ± 0.285
LeftLung,0.9688 ± 0.007,0.9758 ± 0.011,0.9623 ± 0.016,0.4569 ± 0.053,1.3071 ± 0.302
Heart,0.9174 ± 0.062,0.8988 ± 0.102,0.9447 ± 0.043,1.1187 ± 1.187,3.1275 ± 2.971
Trachea,0.617 ± 0.099,0.6379 ± 0.091,0.6066 ± 0.124,1.09 ± 0.233,3.8054 ± 1.349
Esophagus,0.7798 ± 0.032,0.7864 ± 0.085,0.7873 ± 0.069,0.8414 ± 0.313,3.451 ± 1.128
SpinalCord,0.8589 ± 0.022,0.8671 ± 0.052,0.8572 ± 0.058,0.6411 ± 0.115,1.6771 ± 0.295
