,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9666 ± 0.006,0.9729 ± 0.015,0.9608 ± 0.019,0.4961 ± 0.129,1.2828 ± 0.393
LeftLung,0.9706 ± 0.006,0.9769 ± 0.015,0.9648 ± 0.016,0.4689 ± 0.047,1.3071 ± 0.302
Heart,0.9327 ± 0.033,0.9319 ± 0.054,0.9362 ± 0.041,0.8071 ± 0.492,2.2221 ± 1.167
Trachea,0.7269 ± 0.096,0.8367 ± 0.066,0.6529 ± 0.122,0.7166 ± 0.395,3.4505 ± 2.261
Esophagus,0.8169 ± 0.039,0.81 ± 0.097,0.8401 ± 0.066,0.7603 ± 0.372,3.1819 ± 1.294
SpinalCord,0.8919 ± 0.024,0.9067 ± 0.05,0.8814 ± 0.045,0.4878 ± 0.117,1.5853 ± 0.295
