,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9665 ± 0.006,0.9732 ± 0.015,0.9604 ± 0.019,0.497 ± 0.131,1.2828 ± 0.393
LeftLung,0.9705 ± 0.006,0.9771 ± 0.014,0.9644 ± 0.016,0.4698 ± 0.048,1.3071 ± 0.302
Heart,0.9327 ± 0.033,0.9323 ± 0.054,0.9357 ± 0.041,0.8075 ± 0.492,2.2221 ± 1.167
Trachea,0.7184 ± 0.081,0.6874 ± 0.08,0.7586 ± 0.104,1.0114 ± 0.386,3.2681 ± 1.273
Esophagus,0.7918 ± 0.053,0.7229 ± 0.108,0.8999 ± 0.074,1.4177 ± 0.775,4.373 ± 2.024
SpinalCord,0.892 ± 0.024,0.9062 ± 0.05,0.882 ± 0.045,0.4879 ± 0.117,1.5853 ± 0.295
