,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9672 ± 0.005,0.9704 ± 0.015,0.9645 ± 0.017,0.5576 ± 0.227,1.1657 ± 0.203
LeftLung,0.9695 ± 0.005,0.9775 ± 0.012,0.962 ± 0.016,0.7372 ± 0.333,1.3485 ± 0.285
Heart,0.8981 ± 0.056,0.9108 ± 0.093,0.893 ± 0.057,2.1032 ± 2.045,5.3566 ± 4.627
Trachea,0.7266 ± 0.076,0.7534 ± 0.094,0.7099 ± 0.089,0.9856 ± 0.7,3.581 ± 2.424
Esophagus,0.3477 ± 0.083,0.679 ± 0.126,0.2471 ± 0.087,4.2714 ± 2.641,24.8917 ± 7.796
SpinalCord,0.8409 ± 0.023,0.9402 ± 0.036,0.7649 ± 0.06,0.6743 ± 0.092,1.7625 ± 0.306
