,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9643 ± 0.007,0.9785 ± 0.011,0.951 ± 0.022,0.5517 ± 0.284,1.3707 ± 0.348
LeftLung,0.9675 ± 0.006,0.9817 ± 0.011,0.9541 ± 0.018,1.2001 ± 1.846,1.4217 ± 0.28
Heart,0.8703 ± 0.056,0.9567 ± 0.077,0.803 ± 0.067,1.4795 ± 0.854,4.2688 ± 1.766
Trachea,0.64 ± 0.072,0.7753 ± 0.106,0.5499 ± 0.066,1.2242 ± 0.822,4.0591 ± 2.752
Esophagus,0.7538 ± 0.038,0.8667 ± 0.107,0.6852 ± 0.091,1.2352 ± 0.66,5.8093 ± 2.121
SpinalCord,0.8459 ± 0.023,0.9304 ± 0.049,0.782 ± 0.068,2.2717 ± 3.054,1.9562 ± 0.757
