,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9668 ± 0.006,0.9769 ± 0.013,0.9573 ± 0.02,0.4581 ± 0.116,1.2975 ± 0.341
LeftLung,0.9704 ± 0.006,0.979 ± 0.013,0.9624 ± 0.017,0.4486 ± 0.069,1.3217 ± 0.23
Heart,0.9322 ± 0.034,0.9346 ± 0.056,0.9327 ± 0.04,0.7957 ± 0.49,2.2085 ± 1.106
Trachea,0.7177 ± 0.088,0.7509 ± 0.089,0.6931 ± 0.102,0.868 ± 0.357,3.1938 ± 1.565
Esophagus,0.7974 ± 0.055,0.7292 ± 0.107,0.9023 ± 0.069,1.0739 ± 0.616,3.8382 ± 2.038
SpinalCord,0.8164 ± 0.036,0.9621 ± 0.022,0.7124 ± 0.062,0.7299 ± 0.155,1.8465 ± 0.301
