,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9666 ± 0.006,0.9725 ± 0.015,0.9613 ± 0.018,0.4856 ± 0.135,1.256 ± 0.35
LeftLung,0.9699 ± 0.006,0.9792 ± 0.013,0.9612 ± 0.017,0.4686 ± 0.062,1.2657 ± 0.313
Heart,0.929 ± 0.037,0.9273 ± 0.051,0.9337 ± 0.052,0.8772 ± 0.567,2.5459 ± 1.421
Trachea,0.7259 ± 0.087,0.7245 ± 0.079,0.7333 ± 0.109,0.8363 ± 0.308,2.9886 ± 1.419
Esophagus,0.7307 ± 0.03,0.7367 ± 0.103,0.7554 ± 0.113,1.8214 ± 0.501,7.2255 ± 2.623
SpinalCord,0.8849 ± 0.03,0.9036 ± 0.045,0.8715 ± 0.06,0.5061 ± 0.122,1.6357 ± 0.353
