,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9664 ± 0.005,0.9642 ± 0.018,0.9692 ± 0.015,0.5724 ± 0.282,1.2803 ± 0.247
LeftLung,0.9693 ± 0.004,0.9756 ± 0.014,0.9636 ± 0.015,1.2508 ± 2.017,1.3485 ± 0.285
Heart,0.9003 ± 0.058,0.9179 ± 0.085,0.8897 ± 0.065,1.3773 ± 1.018,3.8773 ± 2.295
Trachea,0.3769 ± 0.142,0.4983 ± 0.118,0.3212 ± 0.151,1.6357 ± 0.927,5.9063 ± 2.884
Esophagus,0.0003 ± 0.0,0.0004 ± 0.001,0.0002 ± 0.0,13.2261 ± 3.405,31.7659 ± 3.549
SpinalCord,0.8807 ± 0.028,0.8482 ± 0.074,0.9232 ± 0.036,4.1954 ± 4.782,11.7649 ± 29.411
