,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9601 ± 0.011,0.9856 ± 0.008,0.9364 ± 0.026,0.5323 ± 0.182,1.4975 ± 0.397
LeftLung,0.9688 ± 0.007,0.9812 ± 0.012,0.957 ± 0.019,0.4743 ± 0.078,1.3217 ± 0.23
Heart,0.9331 ± 0.033,0.9346 ± 0.056,0.9345 ± 0.038,0.7832 ± 0.478,2.1414 ± 1.056
Trachea,0.7175 ± 0.086,0.7487 ± 0.086,0.6947 ± 0.101,0.8975 ± 0.373,3.2339 ± 1.479
Esophagus,0.7868 ± 0.041,0.8522 ± 0.096,0.7477 ± 0.091,1.0316 ± 0.541,4.066 ± 1.82
SpinalCord,0.8897 ± 0.024,0.9157 ± 0.048,0.869 ± 0.048,0.4894 ± 0.11,1.5903 ± 0.266
