,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9673 ± 0.005,0.9708 ± 0.015,0.9643 ± 0.017,0.525 ± 0.217,1.1975 ± 0.257
LeftLung,0.9708 ± 0.004,0.9745 ± 0.014,0.9673 ± 0.014,0.5833 ± 0.136,1.2803 ± 0.247
Heart,0.9087 ± 0.052,0.8931 ± 0.082,0.9308 ± 0.05,1.3054 ± 1.053,3.6848 ± 2.669
Trachea,0.7517 ± 0.066,0.7523 ± 0.08,0.76 ± 0.091,0.7999 ± 0.385,3.253 ± 1.555
Esophagus,0.7696 ± 0.026,0.7818 ± 0.096,0.7797 ± 0.096,1.0941 ± 0.401,4.6038 ± 1.416
SpinalCord,0.8612 ± 0.018,0.9119 ± 0.043,0.82 ± 0.051,0.6269 ± 0.074,1.7089 ± 0.282
