,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9669 ± 0.005,0.97 ± 0.017,0.9644 ± 0.018,0.4975 ± 0.125,1.2828 ± 0.393
LeftLung,0.9711 ± 0.005,0.9743 ± 0.016,0.9684 ± 0.015,0.461 ± 0.041,1.2657 ± 0.313
Heart,0.9325 ± 0.035,0.9234 ± 0.058,0.9447 ± 0.038,0.8162 ± 0.513,2.2061 ± 1.197
Trachea,0.2779 ± 0.134,0.4349 ± 0.135,0.2127 ± 0.128,1.2638 ± 0.405,4.3391 ± 1.368
Esophagus,0.0093 ± 0.007,0.0144 ± 0.012,0.007 ± 0.005,11.0826 ± 2.259,29.9956 ± 3.715
SpinalCord,0.8942 ± 0.024,0.9005 ± 0.052,0.8919 ± 0.044,0.4858 ± 0.12,1.5853 ± 0.295
