,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9604 ± 0.009,0.9805 ± 0.011,0.9417 ± 0.024,0.5296 ± 0.162,1.5479 ± 0.452
LeftLung,0.9704 ± 0.006,0.9775 ± 0.014,0.9639 ± 0.017,0.4543 ± 0.056,1.2803 ± 0.247
Heart,0.9328 ± 0.034,0.9301 ± 0.058,0.9384 ± 0.037,0.7978 ± 0.505,2.1787 ± 1.205
Trachea,0.1347 ± 0.051,0.485 ± 0.125,0.0799 ± 0.034,2.9462 ± 1.007,33.8808 ± 8.658
Esophagus,0.8048 ± 0.044,0.8601 ± 0.091,0.773 ± 0.092,0.8423 ± 0.431,3.7513 ± 1.621
SpinalCord,0.8904 ± 0.022,0.9149 ± 0.048,0.8711 ± 0.048,0.4898 ± 0.107,1.5585 ± 0.267
