,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9665 ± 0.006,0.9731 ± 0.015,0.9606 ± 0.019,0.4964 ± 0.13,1.2828 ± 0.393
LeftLung,0.9706 ± 0.006,0.9767 ± 0.015,0.965 ± 0.016,0.4685 ± 0.046,1.3071 ± 0.302
Heart,0.9327 ± 0.033,0.9321 ± 0.054,0.936 ± 0.041,0.8074 ± 0.492,2.2221 ± 1.167
Trachea,0.7273 ± 0.096,0.8364 ± 0.066,0.6536 ± 0.122,0.7181 ± 0.397,3.4526 ± 2.261
Esophagus,0.7967 ± 0.051,0.7351 ± 0.107,0.8938 ± 0.078,1.3135 ± 0.703,4.1618 ± 2.069
SpinalCord,0.8919 ± 0.024,0.9068 ± 0.05,0.8813 ± 0.045,0.4878 ± 0.117,1.5853 ± 0.295
