,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9649 ± 0.007,0.9783 ± 0.013,0.9525 ± 0.022,0.4812 ± 0.137,1.456 ± 0.424
LeftLung,0.9686 ± 0.008,0.981 ± 0.013,0.9569 ± 0.02,0.4732 ± 0.087,1.3535 ± 0.261
Heart,0.9304 ± 0.033,0.9421 ± 0.054,0.9215 ± 0.038,0.8005 ± 0.486,2.2778 ± 1.006
Trachea,0.7121 ± 0.085,0.7647 ± 0.083,0.6727 ± 0.101,0.8513 ± 0.342,3.2617 ± 1.504
Esophagus,0.0 ± 0.0,nan ± nan,0.0 ± 0.0,nan ± nan,nan ± nan
SpinalCord,0.8752 ± 0.023,0.933 ± 0.04,0.8279 ± 0.053,0.5367 ± 0.105,1.6121 ± 0.318
