,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9601 ± 0.011,0.9753 ± 0.013,0.9459 ± 0.026,1.2522 ± 1.431,1.8578 ± 0.974
LeftLung,0.9658 ± 0.008,0.9795 ± 0.012,0.9529 ± 0.021,0.8637 ± 0.335,1.7071 ± 0.697
Heart,0.8946 ± 0.065,0.9181 ± 0.096,0.8813 ± 0.072,1.738 ± 1.591,4.7074 ± 4.033
Trachea,0.5368 ± 0.113,0.6722 ± 0.1,0.4757 ± 0.153,1.2747 ± 0.468,9.6643 ± 10.06
Esophagus,0.7806 ± 0.056,0.7609 ± 0.117,0.8339 ± 0.111,2.0584 ± 1.133,7.2938 ± 3.991
SpinalCord,0.808 ± 0.062,0.9143 ± 0.064,0.7406 ± 0.121,0.8241 ± 0.225,2.2067 ± 0.575
