,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9665 ± 0.006,0.9731 ± 0.015,0.9606 ± 0.019,0.4964 ± 0.13,1.2828 ± 0.393
LeftLung,0.9706 ± 0.006,0.9768 ± 0.015,0.9648 ± 0.016,0.4688 ± 0.046,1.3071 ± 0.302
Heart,0.9327 ± 0.033,0.932 ± 0.054,0.9361 ± 0.041,0.8072 ± 0.492,2.2221 ± 1.167
Trachea,0.716 ± 0.083,0.686 ± 0.083,0.7557 ± 0.106,0.9975 ± 0.371,3.219 ± 1.199
Esophagus,0.8167 ± 0.04,0.8092 ± 0.097,0.8404 ± 0.066,0.7617 ± 0.372,3.1819 ± 1.294
SpinalCord,0.8919 ± 0.024,0.9066 ± 0.05,0.8815 ± 0.045,0.488 ± 0.117,1.5853 ± 0.295
