,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9675 ± 0.005,0.9718 ± 0.014,0.9638 ± 0.017,0.5324 ± 0.226,1.1657 ± 0.203
LeftLung,0.97 ± 0.006,0.9793 ± 0.011,0.9612 ± 0.016,0.5207 ± 0.1,1.2803 ± 0.247
Heart,0.898 ± 0.06,0.9009 ± 0.094,0.9037 ± 0.066,1.3498 ± 1.016,3.8298 ± 2.287
Trachea,0.7434 ± 0.076,0.7504 ± 0.088,0.7473 ± 0.101,0.9182 ± 0.653,3.447 ± 2.381
Esophagus,0.7195 ± 0.07,0.8692 ± 0.109,0.636 ± 0.116,0.928 ± 0.49,7.5411 ± 5.538
SpinalCord,0.8479 ± 0.042,0.9204 ± 0.053,0.7961 ± 0.092,0.6672 ± 0.187,1.8635 ± 0.357
