,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9679 ± 0.004,0.9726 ± 0.015,0.9637 ± 0.017,0.4272 ± 0.062,1.1657 ± 0.203
LeftLung,0.9696 ± 0.006,0.9789 ± 0.012,0.9609 ± 0.016,0.4858 ± 0.075,1.3657 ± 0.367
Heart,0.9124 ± 0.053,0.9067 ± 0.088,0.9247 ± 0.046,1.1739 ± 1.04,3.2919 ± 2.462
Trachea,0.737 ± 0.072,0.7763 ± 0.077,0.7123 ± 0.101,0.8816 ± 0.557,3.498 ± 2.065
Esophagus,0.7701 ± 0.038,0.8388 ± 0.116,0.7347 ± 0.094,0.8245 ± 0.606,6.1192 ± 1.788
SpinalCord,0.8661 ± 0.024,0.9254 ± 0.048,0.8207 ± 0.071,0.597 ± 0.128,1.6585 ± 0.222
