,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9669 ± 0.005,0.9701 ± 0.017,0.9642 ± 0.018,0.4978 ± 0.125,1.2828 ± 0.393
LeftLung,0.971 ± 0.005,0.9745 ± 0.016,0.9679 ± 0.015,0.464 ± 0.042,1.2657 ± 0.313
Heart,0.9325 ± 0.035,0.9234 ± 0.058,0.9447 ± 0.038,0.8173 ± 0.513,2.2061 ± 1.197
Trachea,0.7183 ± 0.08,0.6755 ± 0.08,0.7729 ± 0.101,1.0459 ± 0.395,3.2951 ± 1.281
Esophagus,0.7822 ± 0.056,0.7044 ± 0.112,0.9057 ± 0.07,1.5827 ± 0.913,5.0376 ± 2.15
SpinalCord,0.8942 ± 0.024,0.9005 ± 0.052,0.8919 ± 0.044,0.4858 ± 0.12,1.5853 ± 0.295
