,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9669 ± 0.005,0.9697 ± 0.017,0.9648 ± 0.018,0.4975 ± 0.125,1.2828 ± 0.393
LeftLung,0.9712 ± 0.005,0.9741 ± 0.016,0.9687 ± 0.015,0.4603 ± 0.042,1.2657 ± 0.313
Heart,0.9326 ± 0.034,0.925 ± 0.057,0.9432 ± 0.039,0.8129 ± 0.505,2.1896 ± 1.186
Trachea,0.7185 ± 0.08,0.6807 ± 0.08,0.7669 ± 0.102,1.0282 ± 0.391,3.2701 ± 1.267
Esophagus,0.7928 ± 0.053,0.7252 ± 0.108,0.8989 ± 0.076,1.4185 ± 0.825,4.3453 ± 2.126
SpinalCord,0.8934 ± 0.024,0.9022 ± 0.051,0.8887 ± 0.044,0.4863 ± 0.119,1.5853 ± 0.295
