,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9663 ± 0.006,0.973 ± 0.015,0.9602 ± 0.019,0.4999 ± 0.136,1.2828 ± 0.393
LeftLung,0.9699 ± 0.007,0.9769 ± 0.015,0.9635 ± 0.017,0.4862 ± 0.075,1.3307 ± 0.359
Heart,0.9327 ± 0.033,0.9322 ± 0.054,0.9359 ± 0.041,0.8073 ± 0.492,2.2221 ± 1.167
Trachea,0.0 ± 0.0,nan ± nan,0.0 ± 0.0,nan ± nan,nan ± nan
Esophagus,0.8005 ± 0.051,0.7424 ± 0.106,0.892 ± 0.078,1.2324 ± 0.641,4.0638 ± 2.094
SpinalCord,0.8891 ± 0.026,0.9064 ± 0.05,0.8761 ± 0.047,0.5106 ± 0.123,1.6707 ± 0.33
