,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9679 ± 0.005,0.9698 ± 0.016,0.9663 ± 0.016,0.4243 ± 0.057,1.1657 ± 0.203
LeftLung,0.9722 ± 0.005,0.9774 ± 0.011,0.9673 ± 0.014,0.4192 ± 0.046,1.1657 ± 0.203
Heart,0.9216 ± 0.046,0.9274 ± 0.072,0.9202 ± 0.051,0.9756 ± 0.792,2.6257 ± 1.845
Trachea,0.6936 ± 0.067,0.5656 ± 0.071,0.9053 ± 0.076,1.5744 ± 0.862,4.5884 ± 3.106
Esophagus,0.783 ± 0.055,0.697 ± 0.101,0.9123 ± 0.049,1.257 ± 0.745,4.2966 ± 2.818
SpinalCord,0.8608 ± 0.046,0.7705 ± 0.078,0.9824 ± 0.016,0.7934 ± 0.283,2.0543 ± 0.693
