,Dice
RightLung,0.9597 ± 0.012
LeftLung,0.9656 ± 0.009
Heart,0.8937 ± 0.064
Trachea,0.5379 ± 0.113
Esophagus,0.7812 ± 0.056
SpinalCord,0.8054 ± 0.064
