,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9667 ± 0.006,0.9742 ± 0.014,0.9598 ± 0.019,0.4799 ± 0.134,1.256 ± 0.35
LeftLung,0.9697 ± 0.007,0.9796 ± 0.013,0.9604 ± 0.018,0.4734 ± 0.069,1.2657 ± 0.313
Heart,0.9289 ± 0.037,0.9268 ± 0.052,0.9341 ± 0.052,0.8747 ± 0.563,2.5622 ± 1.461
Trachea,0.7203 ± 0.086,0.7201 ± 0.083,0.7282 ± 0.114,0.8758 ± 0.313,3.1013 ± 1.297
Esophagus,0.7807 ± 0.041,0.7758 ± 0.119,0.8104 ± 0.082,0.9123 ± 0.46,3.7116 ± 1.313
SpinalCord,0.8802 ± 0.03,0.9108 ± 0.044,0.8559 ± 0.06,0.5165 ± 0.117,1.6675 ± 0.346
