,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9665 ± 0.005,0.9683 ± 0.016,0.9652 ± 0.017,0.5534 ± 0.267,1.1975 ± 0.257
LeftLung,0.9689 ± 0.005,0.9776 ± 0.013,0.9607 ± 0.016,1.1546 ± 1.739,1.3899 ± 0.261
Heart,0.8973 ± 0.058,0.9293 ± 0.083,0.8735 ± 0.068,1.3514 ± 0.957,3.8784 ± 2.111
Trachea,0.7256 ± 0.087,0.6811 ± 0.103,0.7827 ± 0.076,1.3015 ± 0.944,4.1432 ± 3.232
Esophagus,0.7797 ± 0.056,0.7414 ± 0.118,0.8467 ± 0.068,1.8145 ± 1.177,7.1537 ± 4.497
SpinalCord,0.8766 ± 0.011,0.9036 ± 0.057,0.8576 ± 0.055,1.9275 ± 2.402,1.7039 ± 0.311
