,Dice,Precision,Recall
RightLung,0.9296 ± 0.021,0.879 ± 0.038,0.9874 ± 0.009
LeftLung,0.9369 ± 0.016,0.8925 ± 0.032,0.9867 ± 0.007
Heart,0.7915 ± 0.081,0.7552 ± 0.123,0.8477 ± 0.061
Trachea,0.24 ± 0.052,0.1384 ± 0.034,0.9364 ± 0.097
Esophagus,0.5525 ± 0.084,0.4079 ± 0.092,0.9043 ± 0.074
SpinalCord,0.5512 ± 0.093,0.391 ± 0.096,0.9823 ± 0.028
