,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9665 ± 0.006,0.9733 ± 0.015,0.9602 ± 0.019,0.4967 ± 0.13,1.2828 ± 0.393
LeftLung,0.9705 ± 0.006,0.9773 ± 0.014,0.9641 ± 0.016,0.4702 ± 0.049,1.3071 ± 0.302
Heart,0.9325 ± 0.033,0.9345 ± 0.053,0.9332 ± 0.041,0.8071 ± 0.488,2.2098 ± 1.148
Trachea,0.7178 ± 0.083,0.6894 ± 0.081,0.7551 ± 0.105,1.0031 ± 0.384,3.2589 ± 1.257
Esophagus,0.7959 ± 0.052,0.7321 ± 0.107,0.8962 ± 0.077,1.33 ± 0.712,4.1431 ± 2.082
SpinalCord,0.8925 ± 0.024,0.9052 ± 0.05,0.884 ± 0.045,0.487 ± 0.117,1.5853 ± 0.295
