,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9661 ± 0.007,0.9623 ± 0.019,0.9704 ± 0.014,0.648 ± 0.206,1.2899 ± 0.19
LeftLung,0.9702 ± 0.005,0.9694 ± 0.015,0.9713 ± 0.014,0.6685 ± 0.213,1.2803 ± 0.247
Heart,0.9162 ± 0.05,0.9189 ± 0.083,0.9192 ± 0.047,1.3901 ± 1.063,4.5551 ± 4.653
Trachea,0.6128 ± 0.087,0.7049 ± 0.094,0.555 ± 0.112,1.3258 ± 0.598,4.5127 ± 1.778
Esophagus,0.7866 ± 0.052,0.8161 ± 0.099,0.7823 ± 0.108,2.5742 ± 0.779,8.9334 ± 2.452
SpinalCord,0.835 ± 0.042,0.8758 ± 0.065,0.811 ± 0.097,0.7546 ± 0.163,2.1221 ± 0.444
