,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9612 ± 0.01,0.9847 ± 0.009,0.9393 ± 0.025,0.5259 ± 0.181,1.5109 ± 0.407
LeftLung,0.971 ± 0.005,0.9747 ± 0.016,0.9677 ± 0.015,0.449 ± 0.047,1.2389 ± 0.255
Heart,0.9329 ± 0.035,0.921 ± 0.06,0.9483 ± 0.036,0.8083 ± 0.519,2.2261 ± 1.202
Trachea,0.7174 ± 0.089,0.7519 ± 0.088,0.6917 ± 0.104,0.8694 ± 0.362,3.1642 ± 1.465
Esophagus,0.8095 ± 0.041,0.8055 ± 0.103,0.8342 ± 0.085,1.1072 ± 0.605,4.1752 ± 1.886
SpinalCord,0.8044 ± 0.038,0.9651 ± 0.02,0.6929 ± 0.062,0.7709 ± 0.158,1.8839 ± 0.316
