,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.968 ± 0.005,0.9676 ± 0.017,0.969 ± 0.015,0.4291 ± 0.052,1.1657 ± 0.203
LeftLung,0.9718 ± 0.005,0.9783 ± 0.011,0.9658 ± 0.015,0.4233 ± 0.052,1.1975 ± 0.257
Heart,0.9222 ± 0.049,0.917 ± 0.079,0.9324 ± 0.045,1.021 ± 0.911,2.7129 ± 2.208
Trachea,0.7427 ± 0.077,0.7017 ± 0.075,0.7982 ± 0.109,1.0108 ± 0.641,3.4469 ± 2.263
Esophagus,0.802 ± 0.047,0.7544 ± 0.101,0.8738 ± 0.058,1.0044 ± 0.595,3.831 ± 2.285
SpinalCord,0.8885 ± 0.029,0.8428 ± 0.069,0.9462 ± 0.036,0.5865 ± 0.181,1.6214 ± 0.521
