,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9671 ± 0.005,0.97 ± 0.017,0.9648 ± 0.018,0.4793 ± 0.127,1.2828 ± 0.393
LeftLung,0.9711 ± 0.005,0.9737 ± 0.016,0.969 ± 0.015,0.4495 ± 0.046,1.2389 ± 0.255
Heart,0.9322 ± 0.036,0.9143 ± 0.061,0.9539 ± 0.035,0.8311 ± 0.533,2.2898 ± 1.165
Trachea,0.7147 ± 0.092,0.8537 ± 0.063,0.6227 ± 0.108,0.7284 ± 0.352,3.4872 ± 2.223
Esophagus,0.8101 ± 0.045,0.7943 ± 0.107,0.8487 ± 0.086,1.163 ± 0.67,4.3445 ± 1.93
SpinalCord,0.8817 ± 0.023,0.9261 ± 0.043,0.8452 ± 0.051,0.5171 ± 0.104,1.5853 ± 0.295
