,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9639 ± 0.007,0.9707 ± 0.016,0.9578 ± 0.018,2.4383 ± 2.801,2.969 ± 3.604
LeftLung,0.9657 ± 0.008,0.9738 ± 0.012,0.958 ± 0.018,1.3493 ± 0.715,1.8984 ± 0.998
Heart,0.897 ± 0.061,0.8741 ± 0.1,0.9298 ± 0.042,3.1538 ± 3.175,11.4216 ± 20.104
Trachea,0.7333 ± 0.073,0.79 ± 0.069,0.6946 ± 0.104,0.7895 ± 0.383,3.3367 ± 1.693
Esophagus,0.7702 ± 0.025,0.8426 ± 0.109,0.7304 ± 0.092,0.7583 ± 0.487,5.9542 ± 1.439
SpinalCord,0.8696 ± 0.021,0.923 ± 0.049,0.8286 ± 0.067,0.5868 ± 0.111,1.5364 ± 0.199
