,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9673 ± 0.005,0.9694 ± 0.017,0.9658 ± 0.017,0.4509 ± 0.077,1.2293 ± 0.298
LeftLung,0.9715 ± 0.005,0.9744 ± 0.016,0.969 ± 0.015,0.4421 ± 0.037,1.2389 ± 0.255
Heart,0.9322 ± 0.035,0.9218 ± 0.06,0.946 ± 0.039,0.8146 ± 0.522,2.1952 ± 1.257
Trachea,0.7159 ± 0.084,0.6844 ± 0.087,0.7575 ± 0.104,0.9766 ± 0.38,3.2323 ± 1.264
Esophagus,0.8089 ± 0.048,0.7586 ± 0.104,0.8877 ± 0.075,0.9085 ± 0.515,3.4737 ± 1.826
SpinalCord,0.8935 ± 0.024,0.9025 ± 0.051,0.8886 ± 0.044,0.4861 ± 0.118,1.5853 ± 0.295
