,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9652 ± 0.005,0.9729 ± 0.014,0.9582 ± 0.019,0.5236 ± 0.161,1.3071 ± 0.302
LeftLung,0.9668 ± 0.008,0.9819 ± 0.01,0.9526 ± 0.02,0.5569 ± 0.099,1.4485 ± 0.319
Heart,0.8849 ± 0.061,0.8781 ± 0.094,0.9013 ± 0.07,3.7716 ± 4.117,15.3381 ± 22.019
Trachea,0.741 ± 0.07,0.7279 ± 0.096,0.7661 ± 0.082,1.0364 ± 0.796,3.5571 ± 2.711
Esophagus,0.68 ± 0.074,0.7602 ± 0.115,0.6435 ± 0.121,1.7138 ± 0.795,6.9008 ± 1.944
SpinalCord,0.8449 ± 0.035,0.8994 ± 0.064,0.8055 ± 0.078,0.6991 ± 0.168,2.0678 ± 0.569
