,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9666 ± 0.005,0.9737 ± 0.014,0.9602 ± 0.018,0.5141 ± 0.212,1.2389 ± 0.255
LeftLung,0.9694 ± 0.005,0.9786 ± 0.012,0.9608 ± 0.015,0.7898 ± 0.713,1.3803 ± 0.308
Heart,0.9047 ± 0.054,0.9173 ± 0.083,0.899 ± 0.062,1.2787 ± 0.973,3.7153 ± 2.235
Trachea,0.6971 ± 0.064,0.7996 ± 0.077,0.6277 ± 0.09,0.7862 ± 0.387,3.6142 ± 1.799
Esophagus,0.7619 ± 0.033,0.7649 ± 0.099,0.7788 ± 0.083,2.1591 ± 1.234,9.1406 ± 6.508
SpinalCord,0.8556 ± 0.017,0.9198 ± 0.049,0.8045 ± 0.053,0.6596 ± 0.081,1.7439 ± 0.243
