,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9657 ± 0.007,0.9693 ± 0.018,0.9628 ± 0.02,0.4654 ± 0.108,1.356 ± 0.401
LeftLung,0.9706 ± 0.007,0.9744 ± 0.014,0.9674 ± 0.018,0.4492 ± 0.079,1.3485 ± 0.285
Heart,0.928 ± 0.038,0.9314 ± 0.064,0.9287 ± 0.046,0.8434 ± 0.539,2.3439 ± 1.186
Trachea,0.6626 ± 0.114,0.7285 ± 0.095,0.624 ± 0.151,1.0023 ± 0.505,4.4863 ± 3.14
Esophagus,0.7676 ± 0.057,0.8309 ± 0.098,0.7354 ± 0.114,1.0272 ± 0.663,4.667 ± 2.582
SpinalCord,0.8603 ± 0.048,0.9229 ± 0.048,0.8135 ± 0.089,0.573 ± 0.148,1.8179 ± 0.543
