,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9634 ± 0.006,0.9692 ± 0.011,0.9581 ± 0.018,2.5833 ± 2.446,1.5802 ± 0.635
LeftLung,0.9681 ± 0.009,0.9804 ± 0.01,0.9564 ± 0.02,1.1816 ± 1.294,1.3975 ± 0.384
Heart,0.9064 ± 0.067,0.878 ± 0.106,0.9457 ± 0.037,4.3893 ± 3.789,11.0204 ± 17.449
Trachea,0.6017 ± 0.093,0.6242 ± 0.115,0.6091 ± 0.143,1.833 ± 1.066,6.8166 ± 3.889
Esophagus,0.7879 ± 0.063,0.8313 ± 0.139,0.7831 ± 0.116,2.4553 ± 3.461,11.9397 ± 13.486
SpinalCord,0.8189 ± 0.051,0.9163 ± 0.056,0.7528 ± 0.104,0.711 ± 0.135,2.2177 ± 0.618
