,Dice
RightLung,0.9681 ± 0.005
LeftLung,0.9722 ± 0.004
Heart,0.9213 ± 0.049
Trachea,0.7398 ± 0.084
Esophagus,0.8167 ± 0.041
SpinalCord,0.8863 ± 0.016
