,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9671 ± 0.005,0.9713 ± 0.016,0.9634 ± 0.018,0.4952 ± 0.158,1.256 ± 0.35
LeftLung,0.9706 ± 0.006,0.9772 ± 0.014,0.9645 ± 0.016,0.4666 ± 0.055,1.2389 ± 0.255
Heart,0.9275 ± 0.037,0.9243 ± 0.053,0.9342 ± 0.054,0.8828 ± 0.54,2.51 ± 1.378
Trachea,0.6874 ± 0.09,0.6864 ± 0.076,0.7026 ± 0.141,0.9476 ± 0.265,3.3078 ± 1.248
Esophagus,0.7833 ± 0.052,0.722 ± 0.114,0.8827 ± 0.074,1.2177 ± 0.663,4.1434 ± 2.198
SpinalCord,0.8729 ± 0.034,0.9161 ± 0.043,0.8384 ± 0.066,0.5314 ± 0.12,1.7424 ± 0.405
