,Dice
RightLung,0.935 ± 0.018
LeftLung,0.9528 ± 0.013
Heart,0.8477 ± 0.07
Trachea,0.459 ± 0.058
Esophagus,0.4244 ± 0.077
SpinalCord,0.6514 ± 0.06
