,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9634 ± 0.006,0.9693 ± 0.011,0.9579 ± 0.018,2.5828 ± 2.446,1.5802 ± 0.635
LeftLung,0.968 ± 0.009,0.9805 ± 0.01,0.9562 ± 0.02,1.1811 ± 1.293,1.3975 ± 0.384
Heart,0.9065 ± 0.067,0.8781 ± 0.106,0.9456 ± 0.037,4.3891 ± 3.79,11.0219 ± 17.453
Trachea,0.6015 ± 0.093,0.6243 ± 0.115,0.6088 ± 0.142,1.8293 ± 1.062,6.7937 ± 3.865
Esophagus,0.7878 ± 0.063,0.8314 ± 0.139,0.7828 ± 0.116,2.4598 ± 3.467,11.9216 ± 13.51
SpinalCord,0.8187 ± 0.052,0.9164 ± 0.055,0.7524 ± 0.104,0.7115 ± 0.135,2.2177 ± 0.618
