,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.9667 ± 0.006,0.9746 ± 0.014,0.9594 ± 0.019,0.4704 ± 0.122,1.256 ± 0.35
LeftLung,0.9698 ± 0.006,0.9786 ± 0.013,0.9616 ± 0.017,0.4679 ± 0.063,1.2657 ± 0.313
Heart,0.9289 ± 0.039,0.9321 ± 0.052,0.9287 ± 0.054,0.8684 ± 0.585,2.629 ± 1.64
Trachea,0.7487 ± 0.085,0.8429 ± 0.065,0.6822 ± 0.109,0.6506 ± 0.353,3.5424 ± 2.54
Esophagus,0.819 ± 0.033,0.8243 ± 0.097,0.8299 ± 0.07,0.7209 ± 0.381,2.855 ± 1.204
SpinalCord,0.8768 ± 0.031,0.9175 ± 0.043,0.8433 ± 0.058,0.5219 ± 0.122,1.6943 ± 0.36
