,Dice,Precision,Recall,Avg. Surface Distance,Hausdorff Distance 95
RightLung,0.968 ± 0.005,0.9738 ± 0.014,0.9626 ± 0.016,0.4286 ± 0.076,1.1975 ± 0.257
LeftLung,0.97 ± 0.008,0.9827 ± 0.009,0.9578 ± 0.018,0.4514 ± 0.079,1.2803 ± 0.247
Heart,0.9271 ± 0.048,0.932 ± 0.077,0.9268 ± 0.046,0.8538 ± 0.73,2.2819 ± 1.481
Trachea,0.7106 ± 0.099,0.7549 ± 0.088,0.6787 ± 0.119,0.8024 ± 0.299,3.0919 ± 1.594
Esophagus,0.814 ± 0.039,0.7998 ± 0.102,0.8473 ± 0.072,0.7831 ± 0.459,3.0779 ± 1.441
SpinalCord,0.8904 ± 0.027,0.9054 ± 0.049,0.8809 ± 0.057,0.4849 ± 0.122,1.5185 ± 0.307
